year,count_method,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,light_goods_vehicles,heavy_goods_vehicles,all_motor_vehicles,count_point_id
2023,Estimated using AADF from previous year on this link,24,39,9532,86,1883,171,11712,8550
2022,Estimated using AADF from previous year on this link,25,40,9356,85,1852,174,11507,8550
2021,Estimated using AADF from previous year on this link,28,36,8760,79,1708,168,10751,8550
2020,Estimated using AADF from previous year on this link,34,34,7951,77,1567,157,9785,8550
2019,Estimated using AADF from previous year on this link,29,46,10467,122,1776,178,12589,8550
2018,Manual count,27,49,10338,120,1791,179,12477,8550
2017,Estimated using AADF from previous year on this link,26,70,10908,260,2213,364,13816,8550
2016,Estimated using AADF from previous year on this link,27,69,10989,279,2103,361,13801,8550
2015,Estimated using AADF from previous year on this link,29,71,10821,301,1925,356,13474,8550
2014,Estimated using AADF from previous year on this link,32,66,10760,256,1822,361,13266,8550
2013,Estimated using AADF from previous year on this link,33,69,10559,203,1715,399,12946,8550
2012,Estimated using AADF from previous year on this link,33,65,10557,181,1851,399,13054,8550
2011,Estimated using AADF from previous year on this link,35,65,10716,163,1643,391,12978,8550
2010,Manual count,31,65,10547,150,1454,377,12593,8550
2009,Estimated using AADF from previous year on this link,94,92,11051,159,1618,446,13366,8550
2008,Manual count,94,95,10888,150,1536,461,13130,8550
2007,Manual count,48,95,10222,147,1653,182,12299,8550
2006,Manual count,26,50,6825,120,1148,174,8317,8550
2005,Manual count,24,48,9963,132,1444,243,11830,8550
2004,Manual count,12,62,8681,172,1227,361,10503,8550
2003,Manual count,40,70,8399,138,1050,296,9953,8550
2002,Manual count,20,92,9881,122,1283,272,11650,8550
2001,Manual count,47,37,9605,233,1213,461,11549,8550
2000,Estimated using AADF from previous year on this link,56,78,8535,105,1112,402,10232,8550
2024,Estimated using AADF from previous year on this link,572,184,19236,198,2659,170,22448,8551
2023,Estimated using AADF from previous year on this link,566,178,18949,198,2612,170,22107,8551
2022,Manual count,575,181,18600,196,2569,172,21717,8551
2021,Estimated using AADF from previous year on this link,281,108,15743,207,2099,240,18397,8551
2020,Estimated using AADF from previous year on this link,344,102,14289,200,1925,223,16741,8551
2019,Estimated using AADF from previous year on this link,301,138,18812,317,2181,254,21703,8551
2018,Manual count,274,147,18579,314,2201,254,21495,8551
2017,Estimated using AADF from previous year on this link,257,241,18399,275,2929,275,22119,8551
2016,Estimated using AADF from previous year on this link,268,239,18535,294,2783,273,22124,8551
2015,Estimated using AADF from previous year on this link,288,244,18250,317,2548,271,21631,8551
2014,Estimated using AADF from previous year on this link,309,240,18592,320,2422,272,21846,8551
2013,Estimated using AADF from previous year on this link,319,226,18786,302,2127,254,21694,8551
2012,Manual count,323,226,18894,321,2103,253,21796,8551
2011,Estimated using AADF from previous year on this link,483,132,18013,294,2329,357,21125,8551
2010,Estimated using AADF from previous year on this link,438,125,18104,294,2259,356,21138,8551
2009,Estimated using AADF from previous year on this link,438,136,18492,280,2248,366,21522,8551
2008,Manual count,438,144,18793,287,2075,377,21676,8551
2007,Estimated using AADF from previous year on this link,194,165,20688,364,2523,306,24046,8551
2006,Estimated using AADF from previous year on this link,311,164,21708,379,2313,311,24875,8551
2005,Estimated using AADF from previous year on this link,198,157,21643,384,2277,304,24765,8551
2004,Manual count,235,156,22198,391,2219,315,25279,8551
2003,Estimated using AADF from previous year on this link,300,235,18246,365,1991,377,21214,8551
2002,Estimated using AADF from previous year on this link,336,209,18505,408,1827,357,21306,8551
2001,Manual count,323,207,18542,399,1823,369,21340,8551
2000,Estimated using AADF from previous year on this link,235,369,22784,560,2304,383,26400,8551
2024,Manual count,0,78,27696,121,4449,418,32761,8554
2023,Estimated using AADF from previous year on this link,0,186,21670,111,3853,579,26398,8554
2022,Estimated using AADF from previous year on this link,0,188,21270,110,3789,587,25944,8554
2021,Estimated using AADF from previous year on this link,0,172,19914,102,3495,566,24250,8554
2020,Estimated using AADF from previous year on this link,0,163,18075,99,3206,528,22071,8554
2019,Estimated using AADF from previous year on this link,0,220,23796,157,3633,601,28407,8554
2018,Estimated using AADF from previous year on this link,0,235,23502,155,3665,603,28159,8554
2017,Estimated using AADF from previous year on this link,0,237,23763,171,3598,598,28367,8554
2016,Manual count,0,235,23940,183,3418,597,28372,8554
2015,Estimated using AADF from previous year on this link,0,312,36502,1411,7808,841,46874,8554
2014,Estimated using AADF from previous year on this link,0,320,36405,1523,7017,801,46067,8554
2013,Estimated using AADF from previous year on this link,0,324,36092,1439,6393,802,45051,8554
2012,Estimated using AADF from previous year on this link,0,296,35736,1370,5921,781,44104,8554
2011,Manual count,0,324,36407,1303,5776,804,44614,8554
2010,Estimated using AADF from previous year on this link,0,410,36682,4144,7142,926,49304,8554
2009,Estimated using AADF from previous year on this link,0,439,37354,3661,7071,944,49469,8554
2008,Estimated using AADF from previous year on this link,0,455,37693,3412,6946,1004,49510,8554
2007,Estimated using AADF from previous year on this link,0,432,38581,2631,6783,1018,49445,8554
2006,Manual count,0,418,38312,2327,6405,1029,48491,8554
2005,Estimated using AADF from previous year on this link,0,410,37973,812,6074,1148,46417,8554
2004,Estimated using AADF from previous year on this link,0,406,37973,782,5869,1153,46183,8554
2003,Manual count,0,458,36939,1305,5325,1075,45102,8554
2002,Estimated using AADF from previous year on this link,0,350,51026,1739,6071,4793,63979,8554
2001,Estimated using AADF from previous year on this link,0,362,50371,1731,5653,4666,62783,8554
2000,Estimated using AADF from previous year on this link,0,358,48904,1694,5348,4572,60876,8554
2024,Estimated using AADF from previous year on this link,10,58,7584,49,1346,211,9248,8555
2023,Estimated using AADF from previous year on this link,11,59,7494,49,1322,211,9135,8555
2022,Estimated using AADF from previous year on this link,11,63,7313,50,1296,214,8936,8555
2021,Estimated using AADF from previous year on this link,12,57,6813,46,1164,208,8289,8555
2020,Manual count,15,55,6230,39,1016,192,7533,8555
2019,Estimated using AADF from previous year on this link,15,84,7476,75,1207,159,9002,8555
2018,Estimated using AADF from previous year on this link,12,78,7460,76,1211,158,8983,8555
2017,Estimated using AADF from previous year on this link,13,80,7496,80,1157,156,8968,8555
2016,Estimated using AADF from previous year on this link,13,82,7505,82,1093,151,8913,8555
2015,Estimated using AADF from previous year on this link,13,82,7413,83,1012,147,8737,8555
2014,Estimated using AADF from previous year on this link,13,82,7465,82,930,137,8696,8555
2013,Estimated using AADF from previous year on this link,16,75,7484,79,893,138,8668,8555
2012,Manual count,16,73,7500,80,863,141,8657,8555
2011,Estimated using AADF from previous year on this link,3,58,8018,126,1025,216,9443,8555
2010,Estimated using AADF from previous year on this link,3,53,8066,122,998,222,9461,8555
2009,Estimated using AADF from previous year on this link,3,59,8180,118,968,221,9546,8555
2008,Manual count,3,59,8205,114,970,238,9586,8555
2007,Estimated using AADF from previous year on this link,9,100,8220,108,1413,237,10078,8555
2006,Estimated using AADF from previous year on this link,9,96,8155,99,1248,221,9819,8555
2005,Estimated using AADF from previous year on this link,9,98,8155,90,1161,224,9728,8555
2004,Estimated using AADF from previous year on this link,9,111,8106,89,1122,228,9656,8555
2003,Estimated using AADF from previous year on this link,9,98,8098,104,1064,220,9584,8555
2002,Estimated using AADF from previous year on this link,11,91,7994,116,948,215,9364,8555
2001,Manual count,11,89,7829,99,905,205,9127,8555
2000,Estimated using AADF from previous year on this link,12,64,7594,111,898,200,8867,8555
2020,Estimated using AADF from previous year on this link,145,149,15393,44,3394,1032,20011,8557
2019,Estimated using AADF from previous year on this link,114,200,21078,68,3965,1151,26463,8557
2018,Manual count,94,186,21032,69,3978,1145,26411,8557
2017,Estimated using AADF from previous year on this link,49,160,19896,84,4014,903,25056,8557
2016,Estimated using AADF from previous year on this link,49,165,19920,87,3792,881,24845,8557
2015,Estimated using AADF from previous year on this link,53,169,19614,94,3472,879,24226,8557
2014,Manual count,57,166,19980,94,3301,871,24412,8557
2013,Estimated using AADF from previous year on this link,33,186,16614,93,2350,732,19975,8557
2012,Estimated using AADF from previous year on this link,33,186,16709,99,2323,731,20048,8557
2011,Estimated using AADF from previous year on this link,35,206,16780,92,2419,799,20296,8557
2010,Manual count,32,194,16865,92,2346,795,20292,8557
2009,Estimated using AADF from previous year on this link,14,116,16482,170,3771,1117,21656,8557
2008,Estimated using AADF from previous year on this link,14,123,16751,174,3482,1150,21680,8557
2007,Estimated using AADF from previous year on this link,13,132,17075,173,3326,1189,21895,8557
2006,Estimated using AADF from previous year on this link,21,131,17918,179,3048,1199,22475,8557
2005,Estimated using AADF from previous year on this link,14,125,17864,183,3001,1190,22363,8557
2004,Manual count,16,125,18322,185,2925,1245,22802,8557
2003,Estimated using AADF from previous year on this link,35,300,18268,159,2868,947,22542,8557
2002,Estimated using AADF from previous year on this link,40,267,18527,178,2631,902,22505,8557
2001,Estimated using AADF from previous year on this link,38,265,18565,174,2625,923,22552,8557
2000,Estimated using AADF from previous year on this link,40,255,18201,170,2635,943,22204,8557
2024,Estimated using AADF from previous year on this link,55,266,23148,32,4183,550,28178,8559
2023,Estimated using AADF from previous year on this link,54,258,22802,31,4109,554,27755,8559
2022,Estimated using AADF from previous year on this link,55,262,22381,31,4041,564,27279,8559
2021,Manual count,62,239,20954,29,3728,544,25495,8559
2020,Estimated using AADF from previous year on this link,100,186,16693,19,2796,540,20234,8559
2019,Estimated using AADF from previous year on this link,87,252,21977,29,3168,615,26041,8559
2018,Estimated using AADF from previous year on this link,79,269,21705,29,3196,615,25813,8559
2017,Manual count,72,272,21946,32,3137,609,25997,8559
2016,Estimated using AADF from previous year on this link,76,240,21337,60,4344,594,26575,8559
2015,Estimated using AADF from previous year on this link,81,245,21009,65,3977,588,25885,8559
2014,Estimated using AADF from previous year on this link,87,241,21402,66,3781,592,26082,8559
2013,Manual count,90,227,21626,62,3320,551,25786,8559
2012,Estimated using AADF from previous year on this link,165,221,22985,126,2472,706,26510,8559
2011,Estimated using AADF from previous year on this link,174,245,23083,117,2574,778,26797,8559
2010,Estimated using AADF from previous year on this link,157,231,23198,117,2496,771,26813,8559
2009,Estimated using AADF from previous year on this link,157,251,23696,111,2484,800,27342,8559
2008,Manual count,157,266,24081,113,2293,826,27579,8559
2007,Estimated using AADF from previous year on this link,79,296,21186,143,3432,753,25810,8559
2006,Estimated using AADF from previous year on this link,127,293,22230,149,3146,758,26576,8559
2005,Estimated using AADF from previous year on this link,81,282,22164,152,3097,745,26440,8559
2004,Manual count,95,279,22733,154,3018,776,26960,8559
2003,Estimated using AADF from previous year on this link,76,405,21401,134,2834,858,25632,8559
2002,Estimated using AADF from previous year on this link,85,361,21705,150,2600,806,25622,8559
2001,Manual count,82,357,21748,147,2594,829,25675,8559
2000,Estimated using AADF from previous year on this link,96,273,20056,171,2236,998,23734,8559
2024,Estimated using AADF from previous year on this link,246,245,26310,595,3591,497,31238,8560
2023,Estimated using AADF from previous year on this link,220,235,26465,589,3571,500,31360,8560
2022,Estimated using AADF from previous year on this link,214,231,26521,584,3509,505,31350,8560
2021,Estimated using AADF from previous year on this link,209,201,25820,577,3232,476,30306,8560
2020,Estimated using AADF from previous year on this link,234,176,23933,572,3031,449,28162,8560
2019,Estimated using AADF from previous year on this link,189,231,31572,686,3477,514,36480,8560
2018,Estimated using AADF from previous year on this link,202,219,31490,691,3479,518,36396,8560
2017,Manual count,205,217,31517,718,3409,527,36388,8560
2016,Estimated using AADF from previous year on this link,157,189,29563,769,3096,550,34167,8560
2015,Estimated using AADF from previous year on this link,152,176,30186,727,3002,548,34640,8560
2014,Estimated using AADF from previous year on this link,132,186,30288,759,2885,548,34666,8560
2013,Manual count,118,180,30201,791,2791,589,34552,8560
2012,Estimated using AADF from previous year on this link,74,315,28872,773,2949,837,33746,8560
2011,Manual count,86,290,29433,784,3020,782,34309,8560
2010,Estimated using AADF from previous year on this link,134,343,35478,822,3184,850,40677,8560
2009,Manual count,138,365,36462,773,3219,835,41654,8560
2008,Estimated using AADF from previous year on this link,197,266,27808,813,2862,1184,32933,8560
2007,Estimated using AADF from previous year on this link,168,272,28463,799,2923,1194,33651,8560
2006,Estimated using AADF from previous year on this link,130,278,28897,796,2861,1059,33891,8560
2005,Estimated using AADF from previous year on this link,105,256,28376,759,2884,1068,33343,8560
2004,Manual count,103,278,28691,710,2826,1111,33616,8560
2003,Estimated using AADF from previous year on this link,130,435,29063,942,1032,3594,35066,8560
2002,Estimated using AADF from previous year on this link,89,421,29656,817,937,3867,35698,8560
2001,Estimated using AADF from previous year on this link,86,440,29656,749,919,4034,35798,8560
2000,Estimated using AADF from previous year on this link,79,407,29626,700,917,4065,35715,8560
2024,Manual count,48,34,8070,148,1177,67,9496,8561
2023,Estimated using AADF from previous year on this link,55,41,6232,166,1095,119,7652,8561
2022,Estimated using AADF from previous year on this link,58,44,6081,167,1074,120,7486,8561
2021,Estimated using AADF from previous year on this link,59,40,5666,156,964,116,6942,8561
2020,Estimated using AADF from previous year on this link,79,38,5181,132,842,108,6301,8561
2019,Estimated using AADF from previous year on this link,62,52,7095,206,984,120,8456,8561
2018,Estimated using AADF from previous year on this link,51,48,7079,209,987,120,8443,8561
2017,Estimated using AADF from previous year on this link,52,49,7113,220,942,119,8444,8561
2016,Manual count,52,51,7122,226,890,116,8405,8561
2015,Estimated using AADF from previous year on this link,40,72,7598,283,1315,174,9442,8561
2014,Estimated using AADF from previous year on this link,40,75,7689,277,1229,172,9442,8561
2013,Estimated using AADF from previous year on this link,50,73,7582,270,1143,171,9240,8561
2012,Estimated using AADF from previous year on this link,50,72,7725,294,1065,173,9329,8561
2011,Estimated using AADF from previous year on this link,54,78,7948,299,1015,174,9514,8561
2010,Manual count,62,71,7924,287,959,171,9412,8561
2009,Estimated using AADF from previous year on this link,41,77,6979,463,1189,257,8965,8561
2008,Estimated using AADF from previous year on this link,36,74,7064,461,1167,280,9046,8561
2007,Estimated using AADF from previous year on this link,36,74,7336,418,1167,294,9289,8561
2006,Estimated using AADF from previous year on this link,36,74,7531,386,1058,267,9316,8561
2005,Estimated using AADF from previous year on this link,37,89,7326,410,1009,263,9097,8561
2004,Estimated using AADF from previous year on this link,36,96,7334,409,961,269,9069,8561
2003,Estimated using AADF from previous year on this link,36,93,7326,474,953,258,9104,8561
2002,Manual count,43,76,7261,457,846,261,8901,8561
2001,Estimated using AADF from previous year on this link,83,110,8468,352,817,202,9949,8561
2000,Manual count,94,99,8442,360,790,201,9892,8561
2024,Estimated using AADF from previous year on this link,350,20,2305,29,463,55,2872,8563
2023,Estimated using AADF from previous year on this link,346,19,2270,29,455,54,2828,8563
2022,Estimated using AADF from previous year on this link,352,19,2229,29,447,55,2779,8563
2021,Manual count,393,18,2087,27,413,53,2597,8563
2020,Estimated using AADF from previous year on this link,187,24,7063,128,1781,178,9175,8563
2019,Estimated using AADF from previous year on this link,163,33,9298,202,2019,203,11755,8563
2018,Estimated using AADF from previous year on this link,149,35,9183,200,2036,205,11659,8563
2017,Estimated using AADF from previous year on this link,135,36,9285,220,1999,204,11744,8563
2016,Estimated using AADF from previous year on this link,140,35,9354,236,1899,204,11729,8563
2015,Estimated using AADF from previous year on this link,151,36,9210,255,1738,202,11441,8563
2014,Estimated using AADF from previous year on this link,162,41,9032,236,1658,211,11177,8563
2013,Estimated using AADF from previous year on this link,167,43,8793,246,1550,204,10835,8563
2012,Estimated using AADF from previous year on this link,169,38,8871,235,1491,201,10837,8563
2011,Estimated using AADF from previous year on this link,179,40,9012,216,1474,197,10939,8563
2010,Estimated using AADF from previous year on this link,162,47,9039,229,1320,193,10828,8563
2009,Manual count,161,50,9093,202,1236,182,10763,8563
2008,Estimated using AADF from previous year on this link,51,60,7739,106,1483,267,9655,8563
2007,Estimated using AADF from previous year on this link,46,62,7914,122,1452,267,9817,8563
2006,Estimated using AADF from previous year on this link,73,66,8043,134,1380,286,9909,8563
2005,Estimated using AADF from previous year on this link,46,75,8198,145,1359,298,10075,8563
2004,Estimated using AADF from previous year on this link,55,92,8593,153,1275,282,10395,8563
2003,Estimated using AADF from previous year on this link,68,139,8483,187,1158,231,10198,8563
2002,Estimated using AADF from previous year on this link,76,98,8809,192,1066,238,10403,8563
2001,Manual count,73,94,8670,191,995,251,10201,8563
2000,Estimated using AADF from previous year on this link,96,83,8884,404,1319,217,10907,8563
2024,Manual count,0,280,122972,182,23753,4988,152176,8564
2023,Manual count,0,300,112176,127,20863,5779,139245,8564
2022,Manual count,0,217,106106,95,21868,6757,135043,8564
2021,Manual count,0,210,98461,121,21267,6340,126398,8564
2020,Manual count,0,323,89368,151,22338,7333,119512,8564
2019,Manual count,0,355,94141,135,17728,7239,119599,8564
2018,Manual count,0,226,109807,140,17854,7015,135042,8564
2017,Estimated using AADF from previous year on this link,0,235,88120,150,14663,6441,109608,8564
2016,Estimated using AADF from previous year on this link,0,253,88216,153,13523,6133,108279,8564
2015,Manual count,0,250,87501,157,12734,5866,106509,8564
2014,Estimated using AADF from previous year on this link,0,168,63549,133,12345,5454,81649,8564
2013,Estimated using AADF from previous year on this link,0,170,63003,126,11247,5351,79896,8564
2012,Estimated using AADF from previous year on this link,0,155,62381,120,10417,5134,78207,8564
2011,Manual count,0,170,63553,114,10161,5139,79137,8564
2010,Estimated using AADF from previous year on this link,0,325,67038,137,8777,4882,81159,8564
2009,Estimated using AADF from previous year on this link,0,348,68267,121,8690,4982,82408,8564
2008,Manual count,0,361,68887,112,8536,5402,83298,8564
2007,Estimated using AADF from previous year on this link,0,200,65476,132,12040,6357,84205,8564
2006,Manual count,0,194,65021,116,11369,6357,83057,8564
2005,Estimated using AADF from previous year on this link,0,383,87020,250,15105,7789,110547,8564
2004,Estimated using AADF from previous year on this link,0,379,87020,241,14594,7839,110073,8564
2003,Estimated using AADF from previous year on this link,0,426,84650,402,13243,7407,106128,8564
2002,Manual count,0,377,86732,391,12857,7713,108070,8564
2001,Manual count,0,445,93768,815,13493,8486,117007,8564
2000,Manual count,0,459,91610,584,13603,8877,115133,8564
2024,Estimated using AADF from previous year on this link,95,107,14478,350,2169,571,17675,8565
2023,Estimated using AADF from previous year on this link,94,103,14261,349,2131,574,17418,8565
2022,Estimated using AADF from previous year on this link,95,105,13998,346,2095,583,17127,8565
2021,Estimated using AADF from previous year on this link,106,96,13106,322,1933,563,16019,8565
2020,Estimated using AADF from previous year on this link,130,91,11896,311,1773,524,14595,8565
2019,Estimated using AADF from previous year on this link,114,123,15661,493,2009,596,18882,8565
2018,Dependent on a neighbouring counted link,104,131,15467,488,2027,595,18708,8565
2017,Estimated using AADF from previous year on this link,190,101,16644,398,2825,682,20650,8565
2016,Estimated using AADF from previous year on this link,199,100,16768,426,2683,675,20652,8565
2015,Estimated using AADF from previous year on this link,213,102,16510,460,2457,662,20191,8565
2014,Dependent on a neighbouring counted link,229,116,16190,427,2343,682,19757,8565
2013,Estimated using AADF from previous year on this link,169,144,17683,575,2700,541,21643,8565
2012,Estimated using AADF from previous year on this link,171,143,17783,611,2670,530,21738,8565
2011,Estimated from nearby links,181,159,17859,568,2780,576,21942,8565
2010,Estimated from nearby links,163,150,17949,569,2697,564,21929,8565
2009,Estimated from nearby links,82,90,17879,389,2023,688,21069,8565
2008,Estimated from nearby links,83,95,18170,399,1868,705,21237,8565
2007,Estimated from nearby links,74,102,18522,395,1784,719,21522,8565
2006,Estimated from nearby links,118,101,19436,410,1635,722,22304,8565
2005,Estimated from nearby links,75,97,19377,417,1610,703,22204,8565
2004,Estimated from nearby links,143,172,19632,456,2222,654,23136,8565
2003,Estimated from nearby links,177,195,19593,489,2242,650,23169,8565
2002,Estimated from nearby links,198,174,19871,548,2057,620,23270,8565
2001,Estimated from nearby links,139,156,21176,546,2414,778,25070,8565
2000,Estimated from nearby links,145,151,20761,536,2424,781,24653,8565
2017,Estimated using AADF from previous year on this link,120,171,14819,312,3475,432,19209,8566
2016,Estimated using AADF from previous year on this link,125,169,14929,334,3301,430,19163,8566
2015,Estimated using AADF from previous year on this link,134,173,14700,361,3022,427,18682,8566
2014,Estimated using AADF from previous year on this link,144,196,14414,335,2882,441,18268,8566
2013,Estimated using AADF from previous year on this link,149,205,14034,348,2695,441,17722,8566
2012,Manual count,151,184,14159,333,2593,437,17705,8566
2011,Estimated using AADF from previous year on this link,147,142,14532,349,3618,457,19098,8566
2010,Estimated using AADF from previous year on this link,133,168,14576,370,3242,440,18796,8566
2009,Estimated using AADF from previous year on this link,133,177,14664,327,3036,429,18633,8566
2008,Estimated using AADF from previous year on this link,133,159,14349,331,2991,465,18295,8566
2007,Estimated using AADF from previous year on this link,118,166,14672,382,2930,467,18617,8566
2006,Estimated using AADF from previous year on this link,190,208,15245,444,2785,542,19224,8566
2005,Estimated using AADF from previous year on this link,121,199,15199,452,2741,535,19126,8566
2004,Manual count,143,197,15589,459,2672,563,19480,8566
2003,Estimated using AADF from previous year on this link,165,231,17226,407,2933,785,21582,8566
2002,Estimated using AADF from previous year on this link,185,206,17471,456,2691,727,21551,8566
2001,Estimated using AADF from previous year on this link,178,204,17506,446,2686,740,21582,8566
2000,Estimated using AADF from previous year on this link,185,197,17163,438,2697,744,21239,8566
2024,Estimated using AADF from previous year on this link,95,170,33051,91,6069,1077,40458,8567
2023,Estimated using AADF from previous year on this link,94,165,32557,91,5962,1080,39855,8567
2022,Estimated using AADF from previous year on this link,95,167,31956,90,5863,1101,39178,8567
2021,Estimated using AADF from previous year on this link,107,153,29919,84,5408,1064,36628,8567
2020,Manual count,131,145,27157,81,4961,992,33335,8567
2019,Estimated using AADF from previous year on this link,119,279,34616,66,5681,1328,41970,8567
2018,Estimated using AADF from previous year on this link,109,298,34187,66,5731,1330,41611,8567
2017,Estimated using AADF from previous year on this link,98,301,34568,72,5626,1317,41884,8567
2016,Manual count,103,298,34824,78,5344,1313,41856,8567
2015,Estimated using AADF from previous year on this link,139,217,26888,530,4201,895,32730,8567
2014,Estimated using AADF from previous year on this link,150,213,27391,535,3994,899,33031,8567
2013,Estimated using AADF from previous year on this link,154,200,27678,504,3507,836,32725,8567
2012,Estimated using AADF from previous year on this link,156,200,27836,535,3468,838,32877,8567
2011,Manual count,165,222,27954,498,3611,923,33208,8567
2010,Manual count,100,259,29231,115,3358,1607,34570,8567
2009,Manual count,126,242,31526,160,3600,1882,37410,8567
2008,Estimated using AADF from previous year on this link,75,182,32451,182,4748,1417,38980,8567
2007,Estimated using AADF from previous year on this link,67,195,33079,180,4535,1472,39461,8567
2006,Estimated using AADF from previous year on this link,108,193,34711,188,4157,1490,40739,8567
2005,Estimated using AADF from previous year on this link,69,186,34606,190,4091,1476,40549,8567
2004,Estimated using AADF from previous year on this link,81,184,35493,194,3987,1550,41408,8567
2003,Manual count,100,209,35423,208,4023,1550,41413,8567
2002,Estimated using AADF from previous year on this link,162,245,34748,194,4616,1381,41184,8567
2001,Estimated using AADF from previous year on this link,156,243,34817,190,4607,1423,41280,8567
2000,Estimated using AADF from previous year on this link,163,234,34134,186,4626,1449,40629,8567
2024,Estimated using AADF from previous year on this link,198,127,26608,568,4600,755,32657,8568
2023,Estimated using AADF from previous year on this link,196,123,26210,566,4519,757,32175,8568
2022,Estimated using AADF from previous year on this link,199,125,25727,561,4444,771,31626,8568
2021,Estimated using AADF from previous year on this link,223,114,24087,522,4099,744,29565,8568
2020,Manual count,272,108,21863,505,3760,693,26929,8568
2019,Estimated using AADF from previous year on this link,171,235,16305,722,3442,586,21290,8568
2018,Estimated using AADF from previous year on this link,156,250,16103,714,3473,584,21125,8568
2017,Estimated using AADF from previous year on this link,141,253,16282,788,3409,579,21311,8568
2016,Estimated using AADF from previous year on this link,147,251,16403,844,3238,575,21311,8568
2015,Estimated using AADF from previous year on this link,158,256,16151,911,2964,576,20858,8568
2014,Estimated using AADF from previous year on this link,170,252,16453,918,2818,577,21019,8568
2013,Estimated using AADF from previous year on this link,175,237,16625,865,2475,540,20742,8568
2012,Manual count,177,237,16720,920,2447,542,20865,8568
2011,Estimated using AADF from previous year on this link,188,165,18442,1213,3306,553,23679,8568
2010,Estimated using AADF from previous year on this link,170,156,18535,1215,3206,553,23665,8568
2009,Estimated using AADF from previous year on this link,170,169,18932,1156,3190,569,24016,8568
2008,Manual count,170,178,19240,1182,2946,589,24135,8568
2007,Estimated using AADF from previous year on this link,119,222,20867,1341,3808,886,27124,8568
2006,Estimated using AADF from previous year on this link,190,220,21895,1395,3491,894,27895,8568
2005,Estimated using AADF from previous year on this link,121,212,21830,1417,3435,884,27778,8568
2004,Estimated using AADF from previous year on this link,143,210,22389,1440,3349,923,28311,8568
2003,Estimated using AADF from previous year on this link,177,238,22345,1548,3379,917,28427,8568
2002,Estimated using AADF from previous year on this link,198,212,22662,1734,3100,865,28573,8568
2001,Manual count,190,210,22707,1697,3094,898,28606,8568
2000,Estimated using AADF from previous year on this link,180,227,23706,1450,3583,1048,30014,8568
2024,Estimated using AADF from previous year on this link,115,48,4898,383,847,114,6290,8569
2023,Estimated using AADF from previous year on this link,114,46,4825,381,832,114,6199,8569
2022,Estimated using AADF from previous year on this link,116,47,4736,378,818,116,6095,8569
2021,Manual count,129,43,4434,351,755,112,5695,8569
2020,Estimated using AADF from previous year on this link,171,29,4712,256,967,131,6095,8569
2019,Estimated using AADF from previous year on this link,150,40,6203,405,1096,149,7892,8569
2018,Estimated using AADF from previous year on this link,136,42,6126,400,1106,149,7824,8569
2017,Estimated using AADF from previous year on this link,123,43,6194,441,1085,148,7912,8569
2016,Estimated using AADF from previous year on this link,129,42,6240,473,1031,147,7933,8569
2015,Estimated using AADF from previous year on this link,138,43,6145,510,944,145,7787,8569
2014,Estimated using AADF from previous year on this link,149,49,6025,474,900,151,7598,8569
2013,Manual count,153,51,5866,492,842,148,7398,8569
2012,Estimated using AADF from previous year on this link,209,59,5560,246,911,157,6932,8569
2011,Estimated using AADF from previous year on this link,221,62,5648,226,900,154,6990,8569
2010,Estimated using AADF from previous year on this link,201,73,5665,240,807,148,6933,8569
2009,Estimated using AADF from previous year on this link,200,77,5699,212,756,143,6887,8569
2008,Estimated using AADF from previous year on this link,200,69,5576,214,745,154,6758,8569
2007,Estimated using AADF from previous year on this link,178,72,5701,247,729,152,6901,8569
2006,Estimated using AADF from previous year on this link,285,75,5794,271,693,163,6996,8569
2005,Manual count,182,86,5906,292,683,172,7139,8569
2004,Estimated using AADF from previous year on this link,212,145,6599,317,895,187,8143,8569
2003,Estimated using AADF from previous year on this link,263,221,6513,386,813,154,8087,8569
2002,Estimated using AADF from previous year on this link,294,155,6764,397,749,159,8224,8569
2001,Estimated using AADF from previous year on this link,282,149,6658,394,699,168,8068,8569
2000,Manual count,294,142,6871,377,694,176,8260,8569
2024,Estimated using AADF from previous year on this link,364,84,9329,98,1348,97,10956,8570
2023,Estimated using AADF from previous year on this link,360,81,9190,98,1324,97,10789,8570
2022,Estimated using AADF from previous year on this link,366,82,9020,97,1302,98,10599,8570
2021,Manual count,409,75,8445,90,1201,94,9906,8570
2020,Estimated using AADF from previous year on this link,305,36,7554,56,1229,108,8983,8570
2019,Estimated using AADF from previous year on this link,267,49,9945,88,1392,123,11598,8570
2018,Estimated using AADF from previous year on this link,243,53,9822,87,1404,123,11490,8570
2017,Estimated using AADF from previous year on this link,220,53,9932,96,1379,123,11582,8570
2016,Estimated using AADF from previous year on this link,230,53,10005,103,1310,123,11593,8570
2015,Estimated using AADF from previous year on this link,247,54,9852,111,1199,120,11335,8570
2014,Estimated using AADF from previous year on this link,266,61,9660,103,1143,125,11093,8570
2013,Manual count,274,64,9405,107,1069,121,10766,8570
2012,Estimated using AADF from previous year on this link,194,57,9443,65,1439,152,11156,8570
2011,Estimated using AADF from previous year on this link,205,60,9593,60,1422,150,11285,8570
2010,Estimated using AADF from previous year on this link,186,71,9622,64,1274,146,11177,8570
2009,Estimated using AADF from previous year on this link,184,75,9680,57,1193,140,11145,8570
2008,Estimated using AADF from previous year on this link,184,68,9471,57,1175,151,10922,8570
